compound,flowers_0,flowers_1,leaves_0,leaves_1,senesced_leaves_0,senesced_leaves_1
1.tridecene,0.73 ± 0.14,1.76 ± 1.20,5.50 ± 1.50,3.81 ± 0.60,6.14 ± 1.54,6.14 ± 0.92
2undecanal,NA,NA,1.23 ± 0.41,0.70 ± 0.11,NA,NA
Butanoicacidhexenylester,0.46 ± NA,NA,4.97 ± 3.36,2.61 ± 1.31,0.00 ± 0.00,0.02 ± 0.01
a.cymene,0.18 ± 0.14,NA,NA,1.73 ± 0.62,3.21 ± 0.53,3.58 ± 0.77
a.pinene,16.90 ± 6.53,18.03 ± 6.38,4.15 ± 2.14,2.11 ± 0.66,3.26 ± 0.74,1.73 ± 0.55
a.pinene.epoxide,1.52 ± 0.22,1.86 ± 0.53,7.15 ± 3.59,3.07 ± 1.07,1.36 ± 0.51,2.19 ± 0.67
acetophenone,2.12 ± 1.08,2.21 ± 1.07,28.48 ± 16.93,24.00 ± 10.48,0.46 ± 0.24,0.37 ± 0.37
apinene,8.89 ± 2.54,9.59 ± 2.89,0.73 ± 0.11,NA,0.00 ± 0.00,0.00 ± NA
b.pinene,5.70 ± 1.92,4.46 ± 1.62,3.52 ± 1.58,1.77 ± 0.82,NA,0.43 ± NA
b.thujene,4.74 ± 1.54,5.41 ± 2.23,3.55 ± 2.66,1.83 ± 1.55,1.39 ± 0.25,0.84 ± 0.18
benzene,3.41 ± 1.28,3.31 ± 1.14,3.40 ± NA,0.54 ± 0.30,0.00 ± 0.00,0.01 ± 0.00
bmyrcene,37.32 ± 8.99,40.52 ± 13.84,9.93 ± 5.49,4.50 ± 1.25,4.75 ± 1.25,3.98 ± 0.86
bocimene,12.32 ± 2.48,10.25 ± 3.32,3.81 ± 1.78,4.23 ± 1.60,15.01 ± 4.12,9.28 ± 2.66
butanoic.acid.three.hexenyl.ester.e,1.11 ± 0.26,1.94 ± 0.93,9.44 ± 4.75,8.83 ± 4.59,20.19 ± 10.09,6.82 ± 1.28
caprolactum,2.16 ± 0.65,4.62 ± 1.68,11.68 ± 3.70,9.12 ± 3.29,41.41 ± 8.17,43.04 ± 10.05
cis.three.hexenyl.isovalerate,1.97 ± 0.63,2.90 ± 1.67,3.51 ± 0.79,3.50 ± 0.74,10.93 ± 4.61,5.48 ± 0.87
cisthreehexiso,1.24 ± 0.41,1.26 ± 0.49,6.31 ± 1.85,6.44 ± 1.73,8.02 ± 2.73,5.99 ± 2.21
cyclopentane,0.27 ± 0.05,0.31 ± 0.04,0.74 ± 0.12,0.96 ± 0.15,0.00 ± 0.00,0.02 ± 0.01
decanal,4.33 ± 1.38,5.12 ± 1.55,13.97 ± 3.42,11.14 ± 1.81,9.94 ± 3.58,8.92 ± 3.40
decane,NA,NA,0.19 ± 0.10,0.55 ± 0.12,0.00 ± 0.00,0.01 ± 0.01
dlimonene,102.44 ± 43.36,154.41 ± 108.76,45.17 ± 31.39,38.56 ± 18.02,0.00 ± 0.00,2.65 ± 2.25
dodecanal,1.04 ± 0.29,1.71 ± 1.07,2.46 ± 0.41,1.81 ± 0.27,2.53 ± 0.78,2.47 ± 0.71
dodecanal_a,0.48 ± NA,NA,1.31 ± 0.41,1.35 ± 0.49,0.00 ± 0.00,0.00 ± 0.00
dodecane,3.31 ± 1.62,4.69 ± 1.81,33.13 ± 20.94,19.22 ± 9.65,11.89 ± 8.16,2.14 ± 0.73
e.four.eight.dimethylnona.one.three.seven.triene,5.17 ± 1.87,5.28 ± 2.89,5.18 ± 1.11,4.89 ± 2.23,14.96 ± 8.09,4.75 ± 1.19
edimethylnonatriene,7.13 ± 2.14,7.13 ± 1.17,4.54 ± 1.70,4.44 ± 1.17,0.01 ± 0.01,0.08 ± 0.05
ethylhexanol,94.01 ± NA,98.31 ± NA,3.40 ± 1.15,1.02 ± 0.24,0.00 ± 0.00,0.01 ± 0.01
heptadecanal,0.42 ± NA,NA,1.56 ± 0.32,1.10 ± 0.42,0.00 ± NA,0.00 ± 0.00
heptadecane,0.37 ± 0.07,0.92 ± 0.64,1.37 ± 0.28,0.94 ± 0.14,2.45 ± 0.42,2.97 ± 0.48
heptanal,1.91 ± 0.44,2.20 ± 0.95,9.75 ± 3.16,6.15 ± 1.50,0.00 ± 0.00,1.37 ± 1.37
hexadecane,0.41 ± 0.15,0.36 ± 0.11,3.11 ± 1.43,1.85 ± 0.53,4.13 ± 1.37,2.23 ± 0.28
homosalate,0.24 ± NA,0.15 ± NA,8.17 ± 2.58,6.71 ± 2.05,NA,NA
hydroxymethylpentanone,1.17 ± 0.21,1.08 ± 0.24,11.26 ± 4.53,12.67 ± 3.26,0.01 ± 0.00,0.12 ± 0.10
limonene.oxide.trans.,1.78 ± 0.39,1.84 ± 0.44,2.17 ± 1.87,4.71 ± 1.93,0.76 ± NA,NA
methylacetophenone,0.50 ± 0.12,0.49 ± 0.07,3.28 ± 0.82,4.33 ± 1.86,0.00 ± 0.00,0.01 ± 0.00
methylnaphthalene,0.78 ± 0.20,0.76 ± 0.20,1.78 ± 0.34,2.40 ± 0.60,0.00 ± 0.00,0.01 ± 0.00
methylsalicylate,1.23 ± 0.27,2.76 ± 0.90,13.93 ± 2.78,15.28 ± 2.61,13.48 ± 3.75,13.61 ± 3.68
nonanal,12.74 ± 4.28,24.41 ± 14.63,62.79 ± 12.61,63.64 ± 12.23,148.22 ± 48.46,178.15 ± 72.19
nonane,NA,NA,1.13 ± 0.27,0.75 ± 0.11,0.00 ± 0.00,NA
octanal,9.83 ± 1.83,12.37 ± 6.48,31.14 ± 9.12,25.18 ± 5.00,25.58 ± 9.86,38.91 ± 15.37
one.hexadecanol,0.34 ± 0.09,0.69 ± 0.41,1.22 ± 0.20,0.92 ± 0.17,2.82 ± 0.44,3.48 ± 0.61
one.pentadecene,0.69 ± 0.13,1.26 ± 0.85,2.72 ± 0.54,2.25 ± 0.31,3.48 ± 0.42,4.47 ± 0.61
pentadecanal,0.15 ± 0.03,0.27 ± 0.05,2.77 ± 1.02,2.01 ± 0.86,NA,0.00 ± NA
pentadecane,0.51 ± 0.13,1.41 ± 0.93,2.42 ± 0.38,1.67 ± 0.22,1.96 ± 0.52,6.88 ± 4.44
sixmethyl,1.38 ± 0.33,1.23 ± 0.33,2.62 ± 1.35,2.00 ± 0.59,0.00 ± 0.00,0.09 ± 0.08
standard,0.84 ± 0.08,1.04 ± 0.22,3.85 ± 0.38,3.79 ± 0.29,2.51 ± 0.66,2.77 ± 0.84
surfynol,1.40 ± 0.18,1.89 ± 0.48,5.23 ± 1.26,4.34 ± 0.65,8.60 ± 2.27,9.06 ± 0.81
terpinen.four.ol,1.29 ± 0.17,1.11 ± 0.33,2.85 ± 0.96,1.70 ± 0.34,2.08 ± 0.73,1.91 ± 0.80
tetradecanal,0.05 ± 0.05,0.18 ± 0.01,1.80 ± 0.51,1.48 ± 0.40,0.00 ± 0.00,0.00 ± 0.00
tetradecane,1.20 ± 0.64,1.85 ± 0.94,14.21 ± 7.14,8.60 ± 3.08,15.21 ± 7.67,5.58 ± 1.58
tetramethyldiol,1.17 ± 0.18,0.85 ± 0.11,1.45 ± 0.25,1.70 ± 0.58,0.00 ± 0.00,0.01 ± 0.00
trans.b.ocimene,5.27 ± 1.25,15.32 ± 8.96,12.63 ± 8.33,5.77 ± 2.90,2.00 ± 0.57,1.07 ± 0.48
tridecanal,4.54 ± 1.64,3.33 ± 0.98,1.99 ± 0.71,1.32 ± 0.39,0.00 ± 0.00,0.00 ± 0.00
tridecane,0.61 ± 0.19,0.89 ± 0.33,3.07 ± 1.18,3.16 ± 1.40,3.98 ± 1.87,3.41 ± 0.63
two.decenal,2.92 ± 0.23,5.38 ± 2.93,16.89 ± 4.00,15.84 ± 2.82,19.19 ± 3.45,27.26 ± 4.91
undecanal,3.84 ± 0.96,4.34 ± 1.82,4.66 ± 1.01,2.71 ± 0.36,4.77 ± 1.09,4.96 ± 1.16
undecanal_c,0.50 ± 0.10,0.59 ± 0.16,2.51 ± 0.90,1.52 ± 0.40,0.00 ± 0.00,0.00 ± 0.00
y.terpinen,1.15 ± 0.21,1.40 ± 0.38,5.23 ± 3.03,2.19 ± 0.84,NA,1.56 ± NA
z3hex,4.75 ± 1.28,36.50 ± 31.47,52.41 ± 16.46,63.82 ± 14.55,19.21 ± 8.01,21.74 ± 9.83
zhexenol,2.91 ± 1.43,3.20 ± 1.13,23.76 ± 6.38,15.61 ± 5.61,0.01 ± 0.01,1.02 ± 0.98
NA,1.76 ± 0.26,2.73 ± 0.39,3.67 ± 0.26,2.46 ± 0.17,3.15 ± 0.23,2.36 ± 0.15
